2.560239080238048805e-04,1.452611903222024003e-03,5.657838731651407965e-03,1.742470335531723022e-02,4.497165411006115443e-02
3.767046679465177613e-04,2.080900027536338771e-03,7.874063557893131587e-03,2.349421954839150603e-02,5.852680105017327855e-02
5.513330492888569466e-04,2.964773864012374208e-03,1.089737363514357502e-02,3.149570848439699200e-02,7.571191113425078389e-02
8.007363946705840004e-04,4.190272745062580302e-03,1.495498696896986439e-02,4.184988195842682251e-02,9.702928186884755835e-02
1.152309329196504056e-03,5.865457283199460546e-03,2.031560297711160548e-02,5.500699714845570798e-02,1.228922931321474593e-01
1.642471454312249661e-03,8.126547703266866207e-03,2.729201613708644863e-02,7.142864356891104327e-02,1.536002450209078829e-01
2.319061759826953392e-03,1.114444916604811174e-02,3.625716495025124719e-02,9.160725321563124857e-02,1.892805368389977039e-01
3.241624961320816161e-03,1.512068840773603436e-02,4.760864542853929932e-02,1.159759061706785860e-01,2.298115287548729846e-01
4.485228183062146996e-03,2.028747851026682647e-02,6.176003517594812892e-02,1.448402041175639032e-01,2.746573909739030150e-01
6.146017389935061817e-03,2.692731872557126496e-02,7.913142094866389142e-02,1.783735464765789369e-01,3.228458627082925192e-01
8.339484924604184321e-03,3.535682075890866222e-02,1.001656282898813893e-01,2.165513090555879483e-01,3.729690276001709770e-01
1.120017119517435419e-02,4.591126712622679157e-02,1.252139442167502226e-01,2.590555281946224642e-01,4.231878857026720175e-01
1.489053869128756369e-02,5.893944548847196430e-02,1.545129308119959910e-01,3.051758982016425925e-01,4.708509414719284081e-01
1.960516157765734846e-02,7.481551146524527407e-02,1.881798151241403094e-01,3.537980342638399889e-01,5.129286946748421450e-01
2.555848236985129238e-02,9.391625727727147266e-02,2.261501244916021836e-01,4.034034724476387446e-01,5.462236827847358756e-01
3.298370987998524434e-02,1.165507769343887279e-01,2.680936611115367074e-01,4.521034223252726192e-01,5.673704809813504557e-01
4.213218954239019570e-02,1.429574887247311021e-01,3.133538836742470468e-01,4.974561208862548489e-01,5.730716947138249084e-01
5.329231868783527309e-02,1.732933980853377243e-01,3.609420810737429264e-01,5.365166271061369008e-01,5.602875602739115779e-01
6.674804696441402618e-02,2.075908014475026098e-01,4.095373724077411848e-01,5.663400061186983914e-01,5.266558951267735766e-01
8.276698471734252049e-02,2.457071138602262284e-01,4.575052970289577581e-01,5.840024480811029095e-01,4.712000967479804681e-01
1.015998787221640831e-01,2.872678379762917400e-01,5.028690570904679191e-01,5.866453675915580535e-01,3.943415422159151085e-01
1.234644509418211938e-01,3.316642838288453299e-01,5.431138342690513543e-01,5.719631880425544157e-01,2.980336868758295954e-01
1.485539688390032087e-01,3.780535688313945153e-01,5.757109006480801705e-01,5.378720530784085740e-01,1.857960833285125235e-01
1.769771853186759003e-01,4.253793062981978679e-01,5.981905133266588459e-01,4.834504694142138792e-01,6.279774237406220150e-02
2.087383962636785439e-01,4.723089070847143467e-01,6.081419144196246185e-01,4.091755717981708229e-01,6.409974741437005075e-02
2.437374405347241813e-01,5.170883871198674875e-01,6.033806625183220085e-01,3.169231230115877596e-01,1.866595040944812323e-01
2.817705106853414798e-01,5.578973787392541572e-01,5.822108816488441585e-01,2.098166608939088240e-01,2.966157104280107704e-01
3.225753331724919293e-01,5.928828939879301485e-01,5.432812809634414153e-01,9.226814421401853539e-02,3.856492836855662243e-01
3.656209099379900684e-01,6.201593246204096799e-01,4.862815384237746952e-01,3.015318760250731631e-02,4.466741136032888471e-01
4.102127635431317421e-01,6.378088598454694225e-01,4.119765734713506933e-01,1.509404245371662734e-01,4.743214461111629476e-01
4.555881252169159956e-01,6.441712053162793605e-01,3.222065470275212173e-01,2.629954717051884439e-01,4.651991069157263570e-01
5.009159348560467961e-01,6.377232792072270451e-01,2.197083292431010748e-01,3.593433387050525840e-01,4.188620387145258195e-01
5.452968410249313669e-01,6.172502656397795828e-01,1.081064217662038585e-01,4.333757843608835314e-01,3.385586099016767991e-01
5.877632009556807979e-01,5.821506240590759163e-01,8.180627461597745481e-03,4.799641684663404351e-01,2.303447957370209354e-01
6.272790805481102128e-01,5.324360892339264906e-01,1.241665027461502507e-01,4.955738093781726916e-01,1.026270556588600585e-01
6.627637350719378651e-01,4.687316712568138088e-01,2.343657014760338331e-01,4.785967408839263415e-01,3.398095657728703034e-02
