1.106350939895410918e-01,3.430073925427477022e-01
1.314286259633678511e-01,3.803211447241174881e-01
1.556244681719934908e-01,4.203320121153180100e-01
1.832895969941011893e-01,4.617042310436854091e-01
2.144000744911780665e-01,5.029017739996712866e-01
2.488212196121769582e-01,5.422807248665453272e-01
2.863076081935164163e-01,5.780892789203949667e-01
3.265030729590808756e-01,6.084677428301259461e-01
3.690333767739237825e-01,6.315706563860513656e-01
4.132565481386911710e-01,6.455788858386146689e-01
4.582591253522635411e-01,6.485983424991129676e-01
5.031218581864195238e-01,6.391884520359961686e-01
5.469205902965440513e-01,6.163803139501766726e-01
5.887262592216284673e-01,5.796767015750289298e-01
6.276048963842705275e-01,5.290520620763902171e-01
6.626176270906740662e-01,4.650049728568800278e-01
6.928206705306497737e-01,3.886912842779096100e-01
7.172653397776141970e-01,3.017295599706145692e-01
7.351003194822961495e-01,2.061844373095964578e-01
7.459343085735492540e-01,1.045680302289042629e-01
7.495372493915486434e-01,1.600707779654264584e-04
7.458470589590883160e-01,1.047167469768919834e-01
7.349760003649988827e-01,2.062287828119478417e-01
7.172106827641473448e-01,3.017809580271635372e-01
6.930120613774379823e-01,3.888199251328413042e-01
6.630154374918114657e-01,4.652332254526150290e-01
6.280304584602450779e-01,5.293492891234503617e-01
5.890400114474346749e-01,5.799606447081194771e-01
5.471069368655944176e-01,6.166014173353465688e-01
5.032419983835345612e-01,6.393770546353633177e-01
4.584066138606419094e-01,6.488203043785184532e-01
4.135060211535469543e-01,6.459021853595993123e-01
3.693892781161239869e-01,6.320319873978311742e-01
3.268492625994910972e-01,6.089970328223099916e-01
2.866072477168020716e-01,5.786329508088728923e-01
2.491369056377818469e-01,5.428191192189106840e-01
2.147210314790020669e-01,5.033862895940777182e-01
1.835681346813987369e-01,4.621065766101940531e-01
1.558140427291454799e-01,4.206934580772446752e-01
1.315219011496539525e-01,3.807095489381351894e-01
1.106821735135733731e-01,3.433613191388928954e-01
